,elbo
1138,99.68446350097656
1139,109.8050537109375
1140,94.38873291015625
1141,56.71684265136719
1142,115.3956298828125
1143,124.07194519042969
1144,118.66007995605469
1145,131.62522888183594
1146,112.3621826171875
1147,112.54818725585938
1148,129.9306640625
1149,99.02999877929688
1150,104.82041931152344
1151,98.32974243164062
1152,100.15234375
1153,82.93411254882812
1154,102.49038696289062
1155,120.8421630859375
1156,125.40745544433594
1157,129.2780303955078
1158,92.90365600585938
1159,99.87846374511719
1160,109.39915466308594
1161,91.61492919921875
1162,106.37782287597656
1163,96.44380187988281
1164,94.34422302246094
1165,128.0670623779297
1166,102.25872802734375
1167,102.21220397949219
1168,89.48179626464844
1169,119.06990051269531
1170,96.24922180175781
1171,107.97393798828125
1172,99.98225402832031
1173,89.06596374511719
1174,101.05389404296875
1175,70.53607177734375
1176,117.05825805664062
1177,108.35720825195312
1178,129.35206604003906
1179,111.1265869140625
1180,88.30123901367188
1181,73.82559204101562
1182,94.9296875
1183,87.4776611328125
1184,109.07858276367188
1185,118.62510681152344
1186,75.66984558105469
1187,103.49215698242188
1188,80.77165222167969
1189,85.53105163574219
1190,102.89230346679688
1191,114.90333557128906
1192,95.49446105957031
1193,100.65907287597656
1194,73.17222595214844
1195,104.97230529785156
1196,105.3365478515625
1197,96.61326599121094
1198,93.98716735839844
1199,76.06321716308594
1200,107.32377624511719
1201,101.51533508300781
1202,84.46968078613281
1203,127.29568481445312
1204,102.40928649902344
1205,124.14695739746094
1206,103.53985595703125
1207,111.47080993652344
1208,102.51106262207031
1209,115.31037902832031
1210,122.85763549804688
1211,83.74676513671875
1212,126.77859497070312
1213,93.68978881835938
1214,110.85176086425781
1215,106.11126708984375
1216,113.28233337402344
1217,105.75291442871094
1218,86.56632995605469
1219,114.8155517578125
1220,111.72059631347656
1221,60.07670593261719
1222,123.09219360351562
1223,89.03825378417969
1224,95.04916381835938
1225,120.75723266601562
1226,95.14794921875
1227,99.84657287597656
1228,95.76904296875
1229,117.75595092773438
1230,83.03187561035156
1231,93.09016418457031
1232,115.6668701171875
1233,89.22390747070312
1234,115.73275756835938
1235,110.51263427734375
1236,116.59857177734375
1237,94.11387634277344
1238,107.36018371582031
1239,97.82537841796875
1240,107.79623413085938
1241,105.43972778320312
1242,117.66387939453125
1243,90.971923828125
1244,127.19140625
1245,94.22434997558594
1246,100.50791931152344
1247,85.99423217773438
1248,95.56427001953125
1249,77.56062316894531
1250,74.07942199707031
1251,99.0584716796875
1252,91.31317138671875
1253,101.60528564453125
1254,106.42201232910156
1255,69.95068359375
1256,84.39054870605469
1257,99.95782470703125
1258,120.54637145996094
1259,76.29254150390625
1260,115.26695251464844
1261,117.06005859375
1262,113.73805236816406
1263,107.84938049316406
1264,86.80270385742188
1265,109.08004760742188
1266,74.05827331542969
1267,114.21926879882812
1268,93.22073364257812
1269,100.62872314453125
1270,123.75437927246094
1271,85.49824523925781
1272,96.35255432128906
1273,101.68220520019531
1274,66.51737976074219
1275,113.580810546875
1276,88.98106384277344
1277,115.66361999511719
1278,124.06175231933594
1279,114.98008728027344
1280,99.70071411132812
1281,91.44589233398438
1282,91.7353515625
1283,92.09831237792969
1284,83.00677490234375
1285,103.76139831542969
1286,106.81265258789062
1287,103.24737548828125
1288,81.86882019042969
1289,79.14959716796875
1290,118.68606567382812
1291,108.55575561523438
1292,104.24440002441406
1293,85.83250427246094
1294,103.9498291015625
1295,114.39018249511719
1296,92.60118103027344
1297,110.62721252441406
1298,122.2078857421875
1299,112.10356140136719
1300,90.4658203125
1301,125.25025939941406
1302,85.26812744140625
1303,110.37982177734375
1304,87.52603149414062
1305,94.05302429199219
1306,108.15501403808594
1307,103.62322998046875
1308,103.67012023925781
1309,83.7620849609375
1310,94.96121215820312
1311,96.92390441894531
1312,113.49044799804688
1313,82.47273254394531
1314,98.70262145996094
1315,109.83915710449219
1316,109.33482360839844
1317,106.38682556152344
1318,124.30587768554688
1319,108.78938293457031
1320,75.51924133300781
1321,105.38429260253906
1322,114.97569274902344
1323,131.6664581298828
1324,111.09446716308594
1325,109.99272155761719
1326,95.67756652832031
1327,96.85871887207031
1328,106.08154296875
1329,97.57676696777344
1330,111.34724426269531
1331,100.41885375976562
1332,74.44268798828125
1333,107.54115295410156
1334,99.43937683105469
1335,127.83021545410156
1336,124.27479553222656
1337,95.34169006347656
1338,107.24800109863281
1339,103.79190063476562
1340,98.71321105957031
1341,99.5865478515625
1342,114.40516662597656
1343,99.13243103027344
1344,73.86273193359375
1345,93.00335693359375
1346,130.9669647216797
1347,101.07029724121094
1348,90.549560546875
1349,65.34501647949219
1350,122.84925842285156
1351,108.78866577148438
1352,131.59112548828125
1353,95.42182922363281
1354,80.85031127929688
1355,115.70538330078125
1356,74.59751892089844
1357,108.76510620117188
1358,97.32591247558594
1359,98.4940185546875
1360,107.00907897949219
